lnewData_ 1,lnewData_ 2,lnewData_ 3,lnewData_ 4,lnewData_ 5,lnewData_ 6,lnewData_ 7,lnewData_ 8,lnewData_ 9,lnewData_10,lnewData_11,lnewData_12,lnewData_13,lnewData_14,lnewData_15,lnewData_16,lnewData_17,lnewData_18
0.18,0.11,0.18,0.27,0.06,-0.02,0.1,-0.07,-0.18,-0.1,-0.29,-0.11,-0.11,-0.1,-0.11,0.09,0.06,0.06
0.04,-0.04,0.21,-0.15,-0.01,0.03,-0.06,-0.09,-0.32,-0.15,-0.35,-0.28,-0.24,0.06,0.73,0.39,0.33,-0.09
