newGenes,newPval,newRval,newData_ 1,newData_ 2,newData_ 3,newData_ 4,newData_ 5,newData_ 6,newData_ 7,newData_ 8,newData_ 9,newData_10,newData_11,newData_12,newData_13,newData_14,newData_15,newData_16,newData_17,newData_18
YLR194C,0.00103556827672943,0.706962637551723,1.11,0.24,-0.95,-0.81,-0.74,-0.39,-0.42,-0.88,-0.2,1.24,1.53,0.97,0.34,-0.11,-0.61,-0.13,-0.22,0.03
YGR233C,0.00146333739041369,0.691984894001339,0.26,-0.19,-0.29,-0.25,-0.17,0.05,-0.08,-0.12,0.27,0.41,0.57,0.19,0.1,-0.12,-0.17,0.08,-0.56,0.02
YDR055W,0.00161578894061836,0.687527035562358,-0.14,0.15,-0.59,-1.46,-0.5,-1.38,-0.46,-1.17,-0.72,1.56,2.23,1.38,1.12,0.15,0.15,-0.14,-0.68,0.52
YNL255C,0.00198011309249064,0.678139096644741,0.17,-0.04,-0.34,-0.26,-0.32,-0.17,0.04,-0.13,0.22,0.51,0.1,0.04,0.28,-0.08,0.17,0.01,-0.26,0.07
YMR246W,0.00234495548505212,0.67007409684306,0.53,-0.33,-0.66,-1.04,-0.8,-0.56,-0.2,-0.18,0,0.27,0.54,0.61,0.6,0.32,0.37,-0.06,0.34,0.25
