genes,cidx,yeastvalues_ 1,yeastvalues_ 2,yeastvalues_ 3,yeastvalues_ 4,yeastvalues_ 5,yeastvalues_ 6,yeastvalues_ 7,yeastvalues_ 8,yeastvalues_ 9,yeastvalues_10,yeastvalues_11,yeastvalues_12,yeastvalues_13,yeastvalues_14,yeastvalues_15,yeastvalues_16,yeastvalues_17,yeastvalues_18
YKL174C,7,0.14,-0.48,-0.33,-0.37,0.17,-0.24,0.26,-0.27,0.14,-0.01,-0.15,-0.2,0.11,-0.35,-0.16,-0.22,0.26,1.72
YKL185W,14,0.2,-0.61,0.13,-0.85,-0.99,-1.14,-1.5,-1.14,0.11,2.09,2.18,1.21,0.47,0.09,-0.37,-0.28,-0.5,0.9
YKL189W,15,1.89,0.2,0.03,-0.06,0.16,-0.42,-0.53,-0.08,0.04,-0.32,0.33,-0.13,-0.08,-0.37,-0.14,-0.03,-0.33,-0.17
YKR012C,2,0.47,0.15,0.69,1.36,0.74,0.4,-0.39,-0.86,-1.21,-1.69,-0.64,0.54,0.98,0.62,0.61,-0.1,-0.66,-1
YLR183C,6,-1.7,-1.46,0.93,1.12,0.91,0.11,0,-0.73,-0.9,-0.46,0.85,0.93,0.96,0.14,0.28,-0.17,-0.14,-0.68
YLR281C,10,0.46,-0.1,0.73,-1.88,0.47,-0.15,0.17,-0.03,0.24,-0.25,0.31,0.07,0.27,0.09,0.14,-0.23,-0.04,-0.27
YLR286C,12,1.18,0.92,0.5,-0.17,-1.17,-1.43,-1.58,-2.17,-2.17,-1.75,0.06,1.4,1.88,1.31,1.52,0.95,0.57,0.16
YLR413W,16,0.41,-0.23,-1.44,-1.9,-1.09,-0.77,-0.12,-0.01,0.73,0.51,0.82,0.44,0.75,0.29,0.29,0.29,0.27,0.75
YLR452C,9,2.41,1.46,-0.46,-0.65,-0.91,-0.24,-0.77,-0.65,-0.68,0.02,-0.24,0.24,0.09,0.02,-0.18,-0.14,0.11,0.58
YML027W,6,-1.72,-0.66,1.73,1.29,0.51,0.28,0.23,-0.55,-0.97,-0.48,0.57,0.88,0.5,-0.01,0.11,-0.33,-0.44,-0.94
