ATMG00640,15,6.83638,7.58534,7.78075,5.9146,6.96009,6.52268,7.07657,6.8466,7.29528,5.46896,7.07441,6.69932
ATMG01020,15,6.13079,6.07039,6.90236,5.48727,6.42951,5.4283,6.04117,5.61488,7.37806,5.33843,6.35661,5.62476
ATMG00530,15,5.25224,4.58725,5.42455,4.75858,4.74819,4.08103,5.06689,5.00075,5.1454,4.2846,4.95999,3.7182
ATMG00010,15,4.22769,3.87262,5.08195,3.51367,3.17706,3.09952,3.97621,3.58857,4.96004,3.45499,3.24031,3.33874
AT2G26380,15,4.07126,4.12475,5.34185,3.51138,3.29127,3.63952,3.89598,4.34645,4.95304,3.29979,3.3931,3.85964
AT2G26390,15,6.15262,6.16464,6.91237,4.95721,4.83036,4.5861,6.07348,6.45263,6.85894,4.59445,4.85677,4.23396
AT2G26420,15,4.94639,4.92458,5.41384,5.2701,4.09403,4.80097,5.27937,5.37872,5.80887,5.29626,3.77169,4.66818
AT2G23180,15,26.3622,26.6301,43.4067,23.2225,18.255,16.8251,25.4625,24.4251,42.9468,23.6997,17.4581,17.9041
AT2G41570,15,5.09576,5.81946,6.71358,4.61113,4.19744,4.58933,4.97285,5.83152,6.20388,4.54522,3.81883,4.20195
AT5G12450,15,6.81024,8.3546,9.79864,5.36206,4.83882,5.35878,7.32247,8.13376,9.41002,5.11502,4.50901,5.59315
AT5G12460,15,3.98967,3.58732,4.54133,2.93431,3.53692,3.04603,4.17455,3.55065,4.15084,2.90535,3.73003,2.85744
AT1G67740,15,4357.01,4994.89,5371.54,3993.88,2971.18,2848.73,4201.67,4509.7,5870.6,3768.53,2788.37,3048.54
AT1G59171,15,7.0108,9.85663,12.5843,5.61804,5.58081,5.77145,7.38011,8.91024,13.4473,5.31679,6.13405,5.43364
AT3G29796,15,5.55211,5.2793,7.83759,4.6921,4.29738,3.77297,5.66146,5.72656,8.23412,4.93178,4.41948,3.3978
AT1G08410,15,19.5356,14.8963,18.3457,15.8589,15.1286,14.3411,19.0209,13.7311,16.7479,15.3557,15.8629,15.6044
AT4G25570,15,1132.51,1207.01,1470.6,1133.22,1085.4,1223.96,1172.46,1116.76,1473.2,1116.18,1011.54,1309.73
AT1G44224,15,4.24683,5.183,5.08097,3.42921,3.7089,3.50307,4.58923,4.66684,5.45297,3.47754,3.40152,3.31957
AT4G14640,15,5.30459,4.67949,5.62141,4.79286,4.66717,4.01088,5.5654,4.88368,5.75936,4.45226,4.409,3.86429
AT4G15560,15,1855.05,1802.04,1982.98,806.988,1062.96,1382.95,1783.49,1981.96,2007.91,813.416,1043.98,1309.59
AT4G14815,15,4.1637,4.2898,5.4574,3.80112,4.00021,3.75465,3.90855,4.13884,5.26846,3.48468,3.74535,3.78726
AT4G17420,15,21.0091,20.9499,26.9497,17.309,21.5821,22.0723,22.2315,22.9733,27.0313,16.3198,19.9494,19.9622
AT4G14560,15,59.2213,42.7011,67.768,22.1955,28.4567,28.0809,58.1081,39.6984,64.4734,20.657,30.4787,27.8545
AT4G17585,15,4.76146,4.80076,6.19172,4.37286,3.81882,4.38188,5.21956,4.89736,6.01554,4.63479,3.99817,4.06122
AT4G17310,15,12.8093,6.47875,11.5755,7.57364,9.25722,8.44525,12.8934,6.81794,12.6167,7.78968,9.22031,8.13805
AT4G16820,15,4.34158,3.61691,4.74655,3.28807,2.94661,2.88483,4.51869,3.42073,4.93195,3.17054,3.19092,2.62151
AT4G16020,15,4.2345,4.07476,4.59542,2.71565,3.03745,3.33295,4.30229,3.98815,4.82754,2.45396,2.79642,3.6364
AT4G16040,15,4.29406,4.43237,4.57133,3.26122,3.02026,3.70173,4.39503,4.12322,4.40785,3.25349,3.20594,3.73419
AT4G16240,15,18.6831,11.8148,19.4913,14.5291,9.15286,12.3119,18.6564,11.45,20.6962,15.0425,8.67911,13.1886
AT4G16270,15,4.98629,6.35098,7.77036,4.57936,4.07266,3.96271,5.19503,5.95861,8.40406,4.19018,4.35373,4.18751
AT4G15590,15,5.26302,6.02938,6.10404,4.32436,4.06294,4.00061,5.73599,5.81258,5.7361,4.70276,3.73146,3.80696
